incgroup,L,a3_coef,a3_tstat,a3_pvalue,n_obs,r2
Bottom50,1,-0.18903219364202628,-2.6225247268487855,0.012024935774361008,47,0.21515864338420765
Middle40,1,-0.18261110471423087,-2.69581166416214,0.009981853703833673,47,0.2374105744151287
Top1,1,-0.1186841854287225,-1.4488109171561918,0.15464410941056508,47,0.06759594252074075
Top10,1,-0.17896673489478743,-2.3937222809337393,0.021112712796871172,47,0.16587842571653277
Bottom50,2,-0.18003222735888882,-2.242421650019842,0.030404632792181804,46,0.21647005364393312
Middle40,2,-0.1606467324159185,-2.1263984976514,0.03953674790859289,46,0.24485746624284133
Top1,2,-0.11991987702474019,-1.3660370483948476,0.1793739326121251,46,0.06205027238430205
Top10,2,-0.16452339566554924,-1.994272900164955,0.052800830462498775,46,0.1580012044525142
Bottom50,3,-0.1816177436919974,-2.0760738014288678,0.044525691661154165,45,0.2197323009337967
Middle40,3,-0.1715336948739624,-2.0913686688809157,0.04305727580417192,45,0.2483694993376182
Top1,3,-0.12512656050003043,-1.3284669340939987,0.1917454890446094,45,0.06456017129433445
Top10,3,-0.18504391564207512,-2.075040709136339,0.04462643993980822,45,0.16941114640916166
