YEAR,incgroup,ln_RLABINC,log_div_t,y_gt,dy_gt,t_index
1976,Group1,9.043046167540435,1.4212370746354555,7.6218090929049795,,0
1977,Group1,9.058248942418109,1.4053358662308209,7.6529130761872874,0.0311039832823079,1
1978,Group1,9.066091297075316,1.3837051287150068,7.682386168360309,0.02947309217302152,2
1979,Group1,9.001644549430395,1.3309802715109509,7.670664277919444,-0.01172189044086469,3
1980,Group1,8.917592880032142,1.25467755327468,7.662915326757462,-0.007748951161982376,4
1981,Group1,8.916237805249033,1.2069414761214812,7.709296329127551,0.04638100237008924,5
1982,Group1,8.926761021255802,1.204709191447922,7.72205182980788,0.012755500680328602,6
1983,Group1,8.913454904456941,1.21744439668358,7.696010507773361,-0.026041322034518366,7
1984,Group1,8.88778155039375,1.2223164776253483,7.665465072768402,-0.03054543500495921,8
1985,Group1,8.896384596270032,1.2301418082165847,7.666242788053447,0.0007777152850447777,9
1986,Group1,8.987238087618808,1.2488721789288717,7.738365908689936,0.07212312063648874,10
1987,Group1,8.970468266826197,1.2475973177244526,7.722870949101744,-0.01549495958819147,11
1988,Group1,8.940008463099218,1.2513135123982402,7.688694950700978,-0.034175998400765906,12
1989,Group1,8.970357123198669,1.242204190431449,7.72815293276722,0.03945798206624129,13
1990,Group1,8.936929350286853,1.228032708537962,7.708896641748891,-0.01925629101832893,14
1991,Group1,9.019571833581812,1.2197818318507236,7.799790001731089,0.09089335998219816,15
1992,Group1,8.970821328495816,1.2201386325999983,7.750682695895818,-0.04910730583527112,16
1993,Group1,8.942804010369171,1.2195122696693004,7.723291740699871,-0.02739095519594681,17
1994,Group1,8.925637016122373,1.222838575736288,7.7027984403860845,-0.020493300313786378,18
1995,Group1,8.961288528180457,1.2225242361934225,7.738764291987035,0.03596585160095067,19
1996,Group1,8.880270255928817,1.2170842674658826,7.663185988462935,-0.07557830352410022,20
1997,Group1,8.983692925941554,1.2134048492314777,7.770288076710076,0.1071020882471414,21
1998,Group1,9.073637803873158,1.2148068613909997,7.858830942482158,0.08854286577208192,22
1999,Group1,9.021420717287285,1.209194232960751,7.812226484326533,-0.04660445815562486,23
2000,Group1,9.043875046800212,1.1912058542399875,7.852669192560224,0.040442708233690894,24
2001,Group1,9.08932500329062,1.179389015885697,7.909935987404923,0.057266794844698765,25
