YEAR,incgroup,ln_RLABINC,Year,log_div_t,y_gt,dy_gt,t_index
1976,Bottom50,9.66679848837438,1976,3.1179499062782403,6.548848582096139,,0
1977,Bottom50,9.645892589618356,1977,3.195811885269649,6.450080704348707,-0.09876787774743168,1
1978,Bottom50,9.635215949498434,1978,3.1912990570979662,6.443916892400468,-0.006163811948239228,2
1979,Bottom50,9.606742894104354,1979,3.175132901920282,6.431609992184072,-0.012306900216396244,3
1980,Bottom50,9.541499096088971,1980,3.1432898379116057,6.398209258177365,-0.0334007340067064,4
1981,Bottom50,9.521206550162862,1981,3.1315734964654043,6.389633053697458,-0.008576204479907368,5
1982,Bottom50,9.535747032823714,1982,3.1293886583666644,6.406358374457049,0.016725320759591433,6
1983,Bottom50,9.549171181798044,1983,3.123685637864452,6.4254855439335925,0.019127169476543138,7
1984,Bottom50,9.540385666861292,1984,3.145444546782318,6.394941120078974,-0.030544423854618863,8
1985,Bottom50,9.562434489052457,1985,3.1561489949598958,6.406285494092561,0.011344374013587455,9
1986,Bottom50,9.555559865245725,1986,3.1921210875593813,6.363438777686343,-0.042846716406217844,10
1987,Bottom50,9.564775119859602,1987,3.2108436531709366,6.353931466688666,-0.009507310997677543,11
1988,Bottom50,9.593732786386145,1988,3.26880819361641,6.324924592769735,-0.029006873918930864,12
1989,Bottom50,9.56413739360132,1989,3.3488509012899463,6.215286492311373,-0.10963810045836198,13
1990,Bottom50,9.557144084223308,1990,3.3789517727148355,6.178192311508473,-0.0370941808028995,14
1991,Bottom50,9.567262274736356,1991,3.358289880650879,6.208972394085476,0.030780082577003043,15
1992,Bottom50,9.550416588900598,1992,3.3446270301737613,6.205789558726837,-0.003182835358639835,16
1993,Bottom50,9.563451844494477,1993,3.332918540908861,6.230533303585616,0.02474374485877906,17
1994,Bottom50,9.542879292301778,1994,3.3523572162426816,6.190522076059096,-0.0400112275265192,18
1995,Bottom50,9.576714001491704,1995,3.37314078387963,6.203573217612074,0.013051141552977263,19
1996,Bottom50,9.531867431542883,1996,3.418054498728578,6.113812932814305,-0.08976028479776854,20
1997,Bottom50,9.582054014819295,1997,3.440738556282688,6.141315458536607,0.027502525722302273,21
1998,Bottom50,9.627688435826906,1998,3.4685444551217657,6.1591439807051405,0.017828522168533034,22
1999,Bottom50,9.626978182107798,1999,3.4722769633431074,6.154701218764691,-0.004442761940449458,23
2000,Bottom50,9.652368057653868,2000,3.4134552790576573,6.238912778596211,0.08421155983151962,24
2001,Bottom50,9.671628406902434,2001,3.3648791189880436,6.30674928791439,0.06783650931817942,25
2002,Bottom50,9.706043274762871,2002,3.3624565533457247,6.343586721417147,0.03683743350275659,26
2003,Bottom50,9.682415623799134,2003,3.4223063448723905,6.260109278926743,-0.08347744249040367,27
2004,Bottom50,9.672736290609588,2004,3.5019472847622986,6.17078900584729,-0.08932027307945312,28
2005,Bottom50,9.682119179597375,2005,3.6019589820832345,6.080160197514141,-0.09062880833314857,29
2006,Bottom50,9.661988531614243,2006,3.6901286735143684,5.971859858099875,-0.10830033941426631,30
2007,Bottom50,9.690833584542316,2007,3.7584055167625467,5.932428067779769,-0.0394317903201058,31
2008,Bottom50,9.702166348663054,2008,3.781002742989742,5.921163605673312,-0.011264462106456818,32
2009,Bottom50,9.694308878176908,2009,3.517497837358316,6.176811040818592,0.25564743514527954,33
2010,Bottom50,9.676741270993876,2010,3.516904189374126,6.1598370816197505,-0.01697395919884137,34
2011,Bottom50,9.661828540501688,2011,3.638375321940168,6.023453218561519,-0.13638386305823147,35
2012,Bottom50,9.69380018259373,2012,3.7887247890836524,5.905075393510078,-0.11837782505144112,36
2013,Bottom50,9.678330476875471,2013,3.887115369721961,5.79121510715351,-0.11386028635656764,37
2014,Bottom50,9.670603330130712,2014,3.9993010135352067,5.671302316595505,-0.11991279055800508,38
2015,Bottom50,9.669921470291085,2015,4.0873199472851365,5.582601523005948,-0.08870079358955696,39
2016,Bottom50,9.705627263153456,2016,4.118711918670395,5.586915344483061,0.004313821477112789,40
2017,Bottom50,9.749329688956776,2017,4.1661999993225285,5.583129689634247,-0.0037856548488139907,41
2018,Bottom50,9.733465427155288,2018,4.241182857326236,5.492282569829052,-0.09084711980519522,42
2019,Bottom50,9.759362394706844,2019,4.298780886070615,5.4605815086362295,-0.031701061192822344,43
2020,Bottom50,9.804470508907263,2020,4.2859286446285445,5.518541864278719,0.05796035564248925,44
2021,Bottom50,9.798727051353758,2021,4.253624919869357,5.545102131484401,0.026560267205682386,45
2022,Bottom50,9.750877203631475,2022,4.2937417198063095,5.457135483825166,-0.08796664765923534,46
2023,Bottom50,9.778666605393326,2023,4.30999343177405,5.468673173619276,0.011537689794110406,47
2024,Bottom50,9.825512071182796,2024,4.343935283551159,5.481576787631638,0.012903614012361508,48
1976,Middle40,10.650088313552024,1976,3.1179499062782403,7.532138407273783,,0
1977,Middle40,10.63226039179306,1977,3.195811885269649,7.436448506523412,-0.09568990075037132,1
1978,Middle40,10.630177042817596,1978,3.1912990570979662,7.43887798571963,0.002429479196218054,2
1979,Middle40,10.617408277104982,1979,3.175132901920282,7.4422753751847,0.0033973894650696224,3
1980,Middle40,10.562611786146162,1980,3.1432898379116057,7.419321948234556,-0.022953426950143907,4
1981,Middle40,10.548385749378804,1981,3.1315734964654043,7.4168122529134,-0.00250969532115608,5
1982,Middle40,10.55332039142501,1982,3.1293886583666644,7.423931733058346,0.007119480144946344,6
1983,Middle40,10.579911631169946,1983,3.123685637864452,7.456225993305494,0.032294260247147655,7
1984,Middle40,10.587196396600309,1984,3.145444546782318,7.44175184981799,-0.014474143487503532,8
1985,Middle40,10.618273521962651,1985,3.1561489949598958,7.462124527002755,0.02037267718476521,9
1986,Middle40,10.634728515604564,1986,3.1921210875593813,7.442607428045183,-0.019517098957572365,10
1987,Middle40,10.629178954673112,1987,3.2108436531709366,7.418335301502175,-0.02427212654300792,11
1988,Middle40,10.644880052142046,1988,3.26880819361641,7.376071858525636,-0.04226344297653917,12
1989,Middle40,10.624800814037282,1989,3.3488509012899463,7.275949912747336,-0.1001219457782998,13
1990,Middle40,10.615853689176726,1990,3.3789517727148355,7.236901916461891,-0.03904799628544531,14
1991,Middle40,10.597211703500284,1991,3.358289880650879,7.238921822849404,0.0020199063875132595,15
1992,Middle40,10.60895443939663,1992,3.3446270301737613,7.264327409222869,0.025405586373464573,16
1993,Middle40,10.60727104290728,1993,3.332918540908861,7.274352501998419,0.010025092775550526,17
1994,Middle40,10.602773609315102,1994,3.3523572162426816,7.25041639307242,-0.023936108925998845,18
1995,Middle40,10.622897290786817,1995,3.37314078387963,7.249756506907187,-0.000659886165233381,19
1996,Middle40,10.605965791819608,1996,3.418054498728578,7.18791129309103,-0.06184521381615671,20
1997,Middle40,10.622780710081788,1997,3.440738556282688,7.1820421537991,-0.0058691392919305585,21
1998,Middle40,10.65136570764873,1998,3.4685444551217657,7.1828212525269635,0.0007790987278637473,22
1999,Middle40,10.661671443821811,1999,3.4722769633431074,7.189394480478704,0.0065732279517405345,23
2000,Middle40,10.694956785577716,2000,3.4134552790576573,7.281501506520058,0.09210702604135435,24
2001,Middle40,10.691541347530045,2001,3.3648791189880436,7.326662228542001,0.04516072202194277,25
2002,Middle40,10.713610966298742,2002,3.3624565533457247,7.351154412953017,0.02449218441101575,26
2003,Middle40,10.699062475473884,2003,3.4223063448723905,7.276756130601493,-0.0743982823515239,27
2004,Middle40,10.711743051732796,2004,3.5019472847622986,7.2097957669704975,-0.06696036363099545,28
2005,Middle40,10.712776551625538,2005,3.6019589820832345,7.110817569542304,-0.09897819742819358,29
2006,Middle40,10.691590573894374,2006,3.6901286735143684,7.001461900380005,-0.10935566916229877,30
2007,Middle40,10.696226242781814,2007,3.7584055167625467,6.937820726019266,-0.0636411743607388,31
2008,Middle40,10.693889582068842,2008,3.781002742989742,6.9128868390791,-0.024933886940166516,32
2009,Middle40,10.704442778854506,2009,3.517497837358316,7.18694494149619,0.27405810241709005,33
2010,Middle40,10.692209795247692,2010,3.516904189374126,7.175305605873566,-0.011639335622623648,34
2011,Middle40,10.675772407361722,2011,3.638375321940168,7.037397085421553,-0.1379085204520134,35
2012,Middle40,10.728837822913006,2012,3.7887247890836524,6.940113033829354,-0.0972840515921991,36
2013,Middle40,10.719842671396355,2013,3.887115369721961,6.832727301674394,-0.10738573215495961,37
2014,Middle40,10.705260320057343,2014,3.9993010135352067,6.705959306522137,-0.12676799515225756,38
2015,Middle40,10.704176211443317,2015,4.0873199472851365,6.61685626415818,-0.0891030423639565,39
2016,Middle40,10.724911385750865,2016,4.118711918670395,6.60619946708047,-0.0106567970777105,40
2017,Middle40,10.758751099987402,2017,4.1661999993225285,6.592551100664873,-0.013648366415596414,41
2018,Middle40,10.747880322777368,2018,4.241182857326236,6.506697465451132,-0.08585363521374134,42
2019,Middle40,10.76883889986668,2019,4.298780886070615,6.470058013796065,-0.03663945165506721,43
2020,Middle40,10.808518450310045,2020,4.2859286446285445,6.5225898056815,0.05253179188543555,44
2021,Middle40,10.778300840512616,2021,4.253624919869357,6.524675920643259,0.0020861149617585895,45
2022,Middle40,10.73672353033138,2022,4.2937417198063095,6.442981810525071,-0.08169411011818806,46
2023,Middle40,10.756477069221557,2023,4.30999343177405,6.446483637447507,0.0035018269224362797,47
2024,Middle40,10.819027732116284,2024,4.343935283551159,6.475092448565126,0.028608811117618593,48
1976,Top1,11.948761528552536,1976,3.1179499062782403,8.830811622274297,,0
1977,Top1,11.902587355699472,1977,3.195811885269649,8.706775470429823,-0.12403615184447325,1
1978,Top1,11.991731820701942,1978,3.1912990570979662,8.800432763603975,0.09365729317415195,2
1979,Top1,11.956750426146757,1979,3.175132901920282,8.781617524226474,-0.01881523937750096,3
1980,Top1,11.79713428427276,1980,3.1432898379116057,8.653844446361154,-0.12777307786532077,4
1981,Top1,11.675152436991,1981,3.1315734964654043,8.543578940525595,-0.11026550583555839,5
1982,Top1,11.813201387223426,1982,3.1293886583666644,8.683812728856761,0.14023378833116595,6
1983,Top1,12.002022799011998,1983,3.123685637864452,8.878337161147545,0.19452443229078398,7
1984,Top1,11.968478771940932,1984,3.145444546782318,8.823034225158613,-0.05530293598893188,8
1985,Top1,11.952349793453772,1985,3.1561489949598958,8.796200798493876,-0.026833426664737203,9
1986,Top1,11.953765024088908,1986,3.1921210875593813,8.761643936529527,-0.03455686196434904,10
1987,Top1,11.937076003855958,1987,3.2108436531709366,8.726232350685022,-0.03541158584450521,11
1988,Top1,11.910603578470624,1988,3.26880819361641,8.641795384854214,-0.08443696583080751,12
1989,Top1,11.976997867874282,1989,3.3488509012899463,8.628146966584335,-0.013648418269879059,13
1990,Top1,11.970937904547815,1990,3.3789517727148355,8.59198613183298,-0.0361608347513549,14
1991,Top1,11.91335610409414,1991,3.358289880650879,8.55506622344326,-0.036919908389720035,15
1992,Top1,11.891764163667482,1992,3.3446270301737613,8.54713713349372,-0.007929089949540113,16
1993,Top1,11.88652476126421,1993,3.332918540908861,8.553606220355348,0.0064690868616281705,17
1994,Top1,11.85916198841254,1994,3.3523572162426816,8.506804772169858,-0.04680144818549081,18
1995,Top1,11.853071285876176,1995,3.37314078387963,8.479930501996545,-0.026874270173312453,19
1996,Top1,12.677699310351668,1996,3.418054498728578,9.25964481162309,0.7797143096265451,20
1997,Top1,12.765669425948438,1997,3.440738556282688,9.32493086966575,0.06528605804265908,21
1998,Top1,12.772156671075884,1998,3.4685444551217657,9.303612215954118,-0.02131865371163144,22
1999,Top1,12.869628473298803,1999,3.4722769633431074,9.397351509955696,0.09373929400157799,23
2000,Top1,12.51739018490073,2000,3.4134552790576573,9.103934905843072,-0.2934166041126236,24
2001,Top1,12.793841989833616,2001,3.3648791189880436,9.428962870845574,0.3250279650025014,25
2002,Top1,12.74998987117599,2002,3.3624565533457247,9.387533317830265,-0.04142955301530904,26
2003,Top1,12.858352812200517,2003,3.4223063448723905,9.436046467328126,0.04851314949786101,27
2004,Top1,12.792256421433176,2004,3.5019472847622986,9.290309136670878,-0.1457373306572478,28
2005,Top1,12.841003145331811,2005,3.6019589820832345,9.239044163248577,-0.05126497342230074,29
2006,Top1,12.809957094909608,2006,3.6901286735143684,9.11982842139524,-0.11921574185333661,30
2007,Top1,12.840872443787603,2007,3.7584055167625467,9.082466927025056,-0.037361494370184545,31
2008,Top1,12.75256644943394,2008,3.781002742989742,8.971563706444199,-0.11090322058085711,32
2009,Top1,12.752160111678222,2009,3.517497837358316,9.234662274319906,0.26309856787570673,33
2010,Top1,12.75768807819446,2010,3.516904189374126,9.240783888820335,0.006121614500429473,34
2011,Top1,12.664476894111338,2011,3.638375321940168,9.02610157217117,-0.21468231664916537,35
2012,Top1,12.72075934855659,2012,3.7887247890836524,8.932034559472939,-0.09406701269823081,36
2013,Top1,12.717098704419096,2013,3.887115369721961,8.829983334697134,-0.10205122477580453,37
2014,Top1,12.71907815429551,2014,3.9993010135352067,8.719777140760304,-0.11020619393683084,38
2015,Top1,12.72744187044126,2015,4.0873199472851365,8.640121923156123,-0.0796552176041807,39
2016,Top1,12.859734895891688,2016,4.118711918670395,8.741022977221292,0.1009010540651687,40
2017,Top1,12.846084268160418,2017,4.1661999993225285,8.679884268837888,-0.061138708383403184,41
2018,Top1,12.83168223813723,2018,4.241182857326236,8.590499380810993,-0.08938488802689548,42
2019,Top1,12.837495733192672,2019,4.298780886070615,8.538714847122057,-0.05178453368893621,43
2020,Top1,12.915886665534323,2020,4.2859286446285445,8.629958020905779,0.09124317378372204,44
2021,Top1,12.831086912818847,2021,4.253624919869357,8.577461992949491,-0.052496027956287605,45
2022,Top1,12.834262856976034,2022,4.2937417198063095,8.540521137169724,-0.03694085577976658,46
2023,Top1,12.879672346929173,2023,4.30999343177405,8.569678915155123,0.029157777985398425,47
2024,Top1,12.804484973433503,2024,4.343935283551159,8.460549689882345,-0.10912922527277757,48
1976,Top10,11.269605796789527,1976,3.1179499062782403,8.151655890511286,,0
1977,Top10,11.245962471291442,1977,3.195811885269649,8.050150586021793,-0.10150530448949269,1
1978,Top10,11.306127407142355,1978,3.1912990570979662,8.11482835004439,0.06467776402259595,2
1979,Top10,11.293603507030523,1979,3.175132901920282,8.118470605110241,0.00364225506585214,3
