Year,VWRETD,VWRETX
"1929-01-02",0.015499,0.015418
"1929-01-03",0.001776,0.001749
"1929-01-04",0.000488,0.000333
"1929-01-05",-0.008781,-0.008781
"1929-01-07",-0.012838,-0.012858
"1929-01-08",-0.002283,-0.002284
"1929-01-09",0.012226,0.012181
"1929-01-10",0.002821,0.002747
"1929-01-11",-0.000647,-0.000945
"1929-01-12",-0.002531,-0.002531
"1929-01-14",0.003086,0.003065
"1929-01-15",-0.010058,-0.010320
"1929-01-16",0.009653,0.009644
"1929-01-17",0.007179,0.007110
"1929-01-18",0.002064,0.001890
"1929-01-19",0.002016,0.002016
"1929-01-21",0.001782,0.001687
"1929-01-22",0.006747,0.006747
"1929-01-23",0.005664,0.005664
"1929-01-24",-0.007940,-0.007999
"1929-01-25",0.011631,0.011513
"1929-01-26",0.003195,0.003195
"1929-01-28",-0.003334,-0.003334
"1929-01-29",-0.001754,-0.001754
"1929-01-30",0.003056,0.003049
"1929-01-31",0.013864,0.013817
"1929-02-01",0.006132,0.005840
"1929-02-02",0.000114,0.000114
"1929-02-04",-0.004495,-0.004693
"1929-02-05",0.002352,0.002326
"1929-02-06",-0.008406,-0.008406
"1929-02-07",-0.029683,-0.029683
"1929-02-08",-0.009921,-0.010346
"1929-02-11",0.022852,0.022811
"1929-02-13",0.000893,0.000858
"1929-02-14",-0.005903,-0.005915
"1929-02-15",-0.016381,-0.017351
"1929-02-16",-0.013859,-0.013859
"1929-02-18",0.011507,0.011325
"1929-02-19",0.002224,0.002213
"1929-02-20",0.008836,0.008822
"1929-02-21",0.007876,0.007800
"1929-02-25",0.002598,0.002494
"1929-02-26",0.003955,0.003924
"1929-02-27",0.010568,0.010568
"1929-02-28",0.010269,0.009653
"1929-03-01",0.010819,0.010082
"1929-03-02",-0.002674,-0.002674
"1929-03-04",-0.009513,-0.009581
"1929-03-05",-0.006544,-0.006559
"1929-03-06",-0.015541,-0.015616
"1929-03-07",0.007766,0.007735
"1929-03-08",0.005734,0.005410
"1929-03-09",-0.000029,-0.000029
"1929-03-11",-0.012946,-0.013266
"1929-03-12",0.002243,0.002113
"1929-03-13",0.009913,0.009808
"1929-03-14",0.015554,0.014971
"1929-03-15",0.010539,0.010040
"1929-03-16",0.002649,0.002649
"1929-03-18",-0.004238,-0.004425
"1929-03-19",0.000304,0.000295
"1929-03-20",0.000273,0.000158
"1929-03-21",-0.004740,-0.004757
"1929-03-22",-0.011986,-0.012084
"1929-03-23",-0.009762,-0.009762
"1929-03-25",-0.030885,-0.030968
"1929-03-26",-0.012648,-0.012653
"1929-03-27",0.033070,0.033070
"1929-03-28",0.017354,0.016416
"1929-04-01",-0.022689,-0.022788
"1929-04-02",0.012023,0.012016
"1929-04-03",-0.010741,-0.010759
"1929-04-04",0.012006,0.011988
"1929-04-05",-0.007356,-0.007459
"1929-04-06",0.001352,0.001352
"1929-04-08",-0.009243,-0.009269
"1929-04-09",-0.008846,-0.008900
"1929-04-10",0.004956,0.004952
"1929-04-11",0.010696,0.010646
"1929-04-12",0.006114,0.005889
"1929-04-13",0.000001,0.000001
"1929-04-15",-0.005604,-0.005796
"1929-04-16",0.000649,0.000641
"1929-04-17",0.010084,0.010055
"1929-04-18",0.004010,0.004002
"1929-04-19",-0.000382,-0.000692
"1929-04-20",0.002090,0.002090
"1929-04-22",0.008744,0.008744
"1929-04-23",0.004593,0.004591
"1929-04-24",-0.002513,-0.002526
"1929-04-25",-0.005871,-0.005968
"1929-04-26",-0.000720,-0.000786
"1929-04-27",0.005577,0.005577
"1929-04-29",-0.005120,-0.005120
"1929-04-30",0.016551,0.016505
"1929-05-01",0.001561,0.001299
"1929-05-02",0.001777,0.001777
"1929-05-03",0.007686,0.007539
"1929-05-04",0.003235,0.003235
"1929-05-06",-0.005328,-0.005341
"1929-05-07",-0.006598,-0.006598
"1929-05-08",0.001230,0.001230
"1929-05-09",-0.005642,-0.005642
"1929-05-10",0.011816,0.011270
"1929-05-11",-0.003090,-0.003090
"1929-05-13",-0.021362,-0.021362
"1929-05-14",0.009017,0.008999
"1929-05-15",-0.003136,-0.003479
"1929-05-16",0.001228,0.001218
"1929-05-17",0.004982,0.004255
"1929-05-18",-0.001630,-0.001630
"1929-05-20",-0.019577,-0.019638
"1929-05-21",0.000820,0.000759
"1929-05-22",-0.031723,-0.031723
