Year,Dividend
2025,78.48
2024,77.01
2023,74.44
2022,73.24
2021,70.36
2020,72.67
2019,73.61
2018,69.49
2017,64.47
2016,61.48
2015,59.58
2014,54.56
2013,48.77
2012,44.20
2011,38.03
2010,33.68
2009,33.70
2008,43.86
2007,42.88
2006,40.05
2005,36.67
2004,33.18
2003,30.64
2002,28.86
2001,28.93
2000,30.37
1999,32.21
1998,32.09
1997,31.21
1996,30.51
1995,29.17
1994,28.57
1993,28.02
1992,28.35
1991,28.74
1990,29.34
1989,28.47
1988,26.28
1987,24.80
1986,24.34
1985,23.48
1984,23.23
1983,22.73
1982,22.86
1981,22.91
1980,23.18
1979,23.93
1978,24.32
1977,24.43
1976,22.60
1975,21.54
1974,22.53
1973,23.76
1972,24.07
1971,24.26
1970,25.62
1969,27.22
1968,28.09
